"ORIGINAL","TAGGED"
"جمال د ګټے خو وو نه، لوږے تندے پرے تېرېدے۔","جمال/N د/PrP ګټے/N خو/RP وو/V نه/RP لوږے/N تندے/N پرے/PrP تېرېدے/V "
"د شکشت نه پس داؤد د اټک په قلا کښی محصور شو۔","د/PrP شکشت/N نه/RP پس/PoP داؤد/N د/PrP اټک/N په/PrP قلا/N کښی/PoP محصور/ADJ شو/V "
"که خېر وۍ او خدائے ته منظوره وۍ، نو بل اتوار ته مے نېت دے۔","که/ADV خېر/N وۍ/INT او/CO خدائے/N ته/PoP منظوره/ADV وۍ/INT نو/RP بل/ADJ اتوار/N ته/PoP مے/PRN نېت/ADV دے/V "
"ناوے سره د هلک د کور د زناناؤ ډوډۍ وخوړه۔","ناوے/N سره/PrP د/PrP هلک
هلک
هلک/none د/PrP کور/N د/PrP زناناؤ/N ډوډۍ/N وخوړه/V "
"د جمامې اؤ د شړشمو زېړ زېړ ګلونه ډېر ښکلي ښکارېدل۔","د/PrP جمامې/N اؤ/CO د/PrP شړشمو/N زېړ/ADJ زېړ/ADJ ګلونه/N ډېر/ADV ښکلي/N ښکارېدل/V "
"استاد شاګرد ته اووې چه غوږ اونيسه۔","استاد/N شاګرد/N ته/PoP اووې/V چه/CO غوږ/N اونيسه/V "
"ما د ترور زوی سره مينه کړې ده۔","ما/PRN د/PrP ترور/N زوی/N سره/PrP مينه/N کړې/V ده/V "
"مونږ امتحان ورکړو۔","مونږ/PRN امتحان/N ورکړو/V "
"تا خپل سبق ياد کړو۔","تا/PRN خپل
خپل
خپل/none سبق/N ياد/N کړو/V "
"تاسو خپله کمره پاکه کړه۔","تاسو/PRN خپله/ADJ کمره/N پاکه/V کړه/V "
"هغه مړ شوے دے۔","هغه/PRN مړ/ADJ شوے/V دے/V "
"هغه مړه شوے ده۔",""
"هغوی د دلته نه لاړل۔",""
